,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
21,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
22,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
23,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
24,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
25,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
26,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
27,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
28,6EB454nVg2u6sbeCvWAPej,"Yaanji - From ""Vikram Vedha""",66.0,1.0,spotify:track:6EB454nVg2u6sbeCvWAPej,0.692,0.624,-6.492,0.0337,0.368,0.0,0.108,0.487,132.896,"Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",2017-06-12
29,1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,67.0,3.0,spotify:track:1zAkNzJZVPrWDCnowb1vpZ,0.483,0.65,-6.752,0.0349,0.573,2.97e-05,0.228,0.637,94.988,"Anirudh Ravichander, Vishal Dadlani",Vanakkam Chennai (Original Motion Picture Soundtrack),2013-07-31
30,1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,67.0,3.0,spotify:track:1zAkNzJZVPrWDCnowb1vpZ,0.483,0.65,-6.752,0.0349,0.573,2.97e-05,0.228,0.637,94.988,"Anirudh Ravichander, Vishal Dadlani",Vanakkam Chennai (Original Motion Picture Soundtrack),2013-07-31
