Track Name,Artists,Album,URI,Release Date
So So Ga,Sid Sriram,Manchi Rojulochaie,41IQYtoxWhrxC6jKyyxHuK,2021-11-01
Penny,"Thaman S, Nakash Aziz",Penny - Sarkaru Vaari Paata,43MaYmeXYuEH4mpuaGH0uC,2022-03-20
Kanne Kanne,Anirudh Ravichander,Ayogya,1K1NqgcheWNhxJ9jg51ov5,2019-05-10
"Jolly O Gymkhana (From ""Beast"")","Thalapathy Vijay, Anirudh Ravichander","Jolly O Gymkhana (From ""Beast"")",6lpbzOMBOYHRsp6WEMvRvn,2022-03-19
"Bodhai Kaname - From ""Oh Manapenne""","Vishal Chandrashekhar, Anirudh Ravichander, Shashaa Tirupati","Bodhai Kaname (From ""Oh Manapenne"")",4qIMmEjV8gaEsfZML9LALx,2021-07-30
So Baby,"Anirudh Ravichander, Ananthakrrishnan",Doctor (Original Motion Picture Soundtrack),6SRzIqukq69xlvVoTSmrW5,2021-10-05
Chellamma,"Anirudh Ravichander, Jonita Gandhi",Doctor (Original Motion Picture Soundtrack),7fdsoKCtpx2hYXDRMoActW,2021-10-05
Arakkiye,"Anivee, Amitash, Jonita Gandhi",Arakkiye,3fdlG1p9oIxnUx5DsF8PZq,2021-02-12
Yeh Pyasi Jawani,Alka Yagnik,Gupt (Original Motion Picture Soundtrack),0DXR2HK3ygeK5sNYNWk1y1,1997-07-04
Mushkil Bada Yeh Pyaar Hai,"Alka Yagnik, Udit Narayan",Gupt (Original Motion Picture Soundtrack),2tvswXYnZML2ef89dZuGAG,1997-07-04
Jee Le Zaraa,Vishal Dadlani,Talaash,2r32XiAWtZbT3eLUvf4pag,2012-10-18
Chittiyaan Kalaiyaan,"Meet Bros Anjjan, Kanika Kapoor",Roy,6XjJXPP3UiGtAQpYkD01c0,2015-01-09
Sooraj Dooba Hain,"Arijit Singh, Aditi Singh Sharma",Roy,48pyUxg9RYuwie5M9R7qRn,2015-01-09
Tu Hai Ki Nahi,Ankit Tiwari,Roy,4brSaQIT3bnnE41D042fgL,2015-01-09
Toota Jo Kabhi Tara,"Atif Aslam, Sumedha Karmahe",A Flying Jatt,4x723mcckl6ToQHuXPhrIX,2016-08-04
Iraiva,"Anirudh Ravichander, Jonita Gandhi",Velaikkaran (Original Motion Picture Soundtrack),13nt0ZQGcwH7oPitTFwjPX,2017-12-04
Ennadi Maayavi Nee,"Santhosh Narayanan, Sid Sriram",VadaChennai (Original Motion Picture Soundtrack),47Cd4WP1ZOK8WXC68kqZ03,2018-09-23
Maruvaarthai,Sid Sriram,"Maruvaarthai (From ""Enai Noki Paayum Thota"")",4FyZDLPO1ErUjzwnLrCLTA,2017-02-11
"Kutti Story (From ""Master"")","Anirudh Ravichander, Thalapathy Vijay","Kutti Story (From ""Master"")",0Xm3PXjA4kXu2GxBhkLk61,2020-02-14
"Jigidi Killaadi (From ""Pattas"")","Anirudh Ravichander, Vivek - Mervin","Jigidi Killaadi (From ""Pattas"")",0OgazYID6CUlSeiAoeuf5B,2019-12-26
"Rakita Rakita Rakita (From ""Jagame Thandhiram"")","Santhosh Narayanan, Dhanush, Dhee","Rakita Rakita Rakita (From ""Jagame Thandhiram"")",2oNRoniEFnPdaCfkOQ9m0C,2020-07-28
"Kaattu Payale (From ""Soorarai Pottru"")","G. V. Prakash, Dhee","Kaattu Payale (From ""Soorarai Pottru"")",2b4nWymybHj38A6XtQijiA,2020-07-23
Enjoy Enjaami,"Dhee, Arivu, Santhosh Narayanan",Enjoy Enjaami,1baHxgYktT8eDdmtTozJF9,2021-03-05
"So Baby (From ""Doctor"")","Anirudh Ravichander, Ananthakrrishnan","So Baby (From ""Doctor"")",0t0mHozF8Xsif9w8bemh9D,2021-02-25
"Bujji (From ""Jagame Thandhiram"")","Santhosh Narayanan, Anirudh Ravichander","Bujji (From ""Jagame Thandhiram"")",6rJhjykEkCqm3H64uALhhf,2020-11-13
Nenjame,Anirudh Ravichander,Doctor (Original Motion Picture Soundtrack),6bUHZRZ4YpVxB1RWrPH5dh,2021-10-05
"Soul of Doctor (Theme) [From ""Doctor""]","Anirudh Ravichander, Niranjana Ramanan","Soul of Doctor (Theme) [From ""Doctor""]",6GFtWQYco30oKpMr5xJwy2,2021-09-28
"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")","Anirudh Ravichander, Sunidhi Chauhan, Sanjana Kalmanje","Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",6C8JJFoGC4dkVtAHVK3iif,2021-09-18
"Tum Tum (From ""Enemy - Tamil"")","Thaman S, Srivardhini, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini","Tum Tum (From ""Enemy - Tamil"")",3H3x4NhR3wJh6IvRHmPvkd,2021-09-03
Cheliya,KK,Yevadu,4TzigAgik8j6HvdTGWHOW3,2013-07-01
Neneppudaina,"Shankar Mahadevan, Shreya Ghoshal",Ramayya Vasthavayya,2NOTi5LCnVtftncWP9nXiG,2013-09-21
O Lailaa,"Rahul, Chours",Ramayya Vasthavayya,4cQ1djodOciziIoME8Yo9e,2013-09-21
Jabilli Nuvve,Ranjith Govind,Ramayya Vasthavayya,1f0YhW497uhA3NKe5S3fkA,2013-09-21
Emo Emo,"Armaan Malik, Shreya Ghoshal",Katamarayudu,1NvPsjNqD527lOJ2z8ucnb,2017-03-03
Kannuladha - The Kiss of Love,"Anirudh Ravichander, Dhanush, Shruti Haasan",3 (Original Motion Picture Soundtrack),1vnDu8pbmwz88G6RDugerQ,2012-03-22
Mass Biriyani,"Rahul Nambiar, Sahithi Chaganti",Krack,0WoXNjPmNxccicpCj1LPtu,2021-01-08
Yaen Ennai,"Harris Jayaraj, Sunitha Sarathy, Kharesma Ravichandran",Yennai Arindhaal (Original Motion Picture Soundtrack),3WFhdtvbXKXfRSJ2cPgdph,2015-01-04
Mazhai Vara Pogudhae,"Harris Jayaraj, Karthik, Emcee Jesz",Yennai Arindhaal (Original Motion Picture Soundtrack),5ich0wSxDxMryEjwZo6XzG,2015-01-04
I Wanna Fly,"L. V. Revanth, Sanjith Hegde, Hiphop Tamizha",Krishnarjuna Yudham,78PoXHAbXHvOx0HMaa1a8z,2018-03-26
Kadhal Cricket - Love (Not Out),"Hiphop Tamizha, Kharesma Ravichandran",Thani Oruvan (Original Motion Picture Soundtrack),2M8ic65G0VLkS6nEY53Uex,2015-07-22
Kannala Kannala - The Melting Point of Love,"Hiphop Tamizha, Kaushik Krish, Padmalatha",Thani Oruvan (Original Motion Picture Soundtrack),4nSwWiwtieiNmRAjy9fEXN,2015-07-22
Neeyum Naanum Anbe,"Hiphop Tamizha, Raghu Dixit, Sathyaprakash D., Jithin Raj",Imaikkaa Nodigal (Original Motion Picture Soundtrack),0zsA45R0SQPfqC5TyDOqY8,2018-06-27
Poongatre Poongatre,"Yuvan Shankar Raja, Benny Dayal",Paiya (Original Motion Picture Soundtrack),2cbRVHdH6ab9sPsnQjFRx6,2010-11-22
Dum Dum,"Salim–Sulaiman, Benny Dayal, Himani Kapoor, Amitabh Bhattacharya",Band Baaja Baaraat,788Lp6lHrCrxJAZvS2l9YZ,2010-03-11
Jenniper Lopez,"Benny Dayal, Priya",Jalsa,7DogGBT86sbjsNWQSIGLtB,2008-02-28
Kaise Mujhe,"Benny Dayal, Shreya Ghoshal",Ghajini,53DXM0bHfB7xkqJZYlksuh,2008-11-25
Locha-E-Ulfat,Benny Dayal,2 States,3V3QbgrOZKtFv5MXzAAdZr,2014-03-14
Bang Bang,"Benny Dayal, Neeti Mohan",Bang Bang (Original Motion Picture Soundtrack),7DonyrUlcVcrtk28mqvWNL,2014-09-15
Ude Dil Befikre,"Vishal-Shekhar, Benny Dayal, Jaideep Sahni",Befikre,0hgTkEDY9oIG5DPKN39KHP,2016-12-01
Aadat Se Majboor,"Salim–Sulaiman, Benny Dayal, Amitabh Bhattacharya",Ladies Vs Ricky Bahl,7CDP4uXu6mkBDzaTOx9yTS,2011-09-11
Badtameez Dil,"Pritam, Benny Dayal, Shefali Alvares",Yeh Jawaani Hai Deewani,4eu27jAU2bbnyHUC3G75U8,2013-03-30
"Chura Ke Dil Mera - From ""Hungama 2""","Benny Dayal, Anmol Malik, Anu Malik","Chura Ke Dil Mera (From ""Hungama 2"")",7d5ufSYehroRIgCXxJvcTM,2021-07-06
O Range,Benny Dayal,Orange,7sIVKdHUTRcHTUs9eBXRg0,2021-07-07
Vastunna Vachestunna - Telugu,"Shreya Ghoshal, Amit Trivedi, Anurag Kulkarni",V,0VMigv7BI8OpP6CRSkyKX6,2020-03-10
"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""","Sam C.S., Anirudh Ravichander","Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")",4KUQFOGTaHrggl3hfMoaAe,2019-01-11
Haali Haali,"Brijesh Tripati Sandilya, Harini, Sunitha",Spyder (Telugu),3Y7Dt0uszkNBMBTdxyckaV,2017-09-09
Nani Vayase,"Karthik, Blaaze, Sunitha",Nani,6lefqVOtD2CAD52sFGZXca,2004-03-26
Avunu Nijam,"KK, Sunitha",Athadu,3CW0qWSqqqDvQWritNm7bC,2005-10-10
Yela Yela,"Sunitha, Smitha",Aata,1rkoOnHhAyoIPXL2MN2oDb,2007-04-26
Gundu Sudhi,"M. M. Keeravani, Sunitha",Chatrapathi,5kmh1Zf0hYESmxwDI1IosB,2005-09-25
Dhimmathirigae,"Simha, Geetha Madhuri, Priya Hemesh",Srimanthudu,0Jid8Dg6yoDuLx4B7TBnRD,2015-07-18
Ittage Recchipodham,"Geetha Madhuri, Dhanunjay Seepana, Anudeep Dev, Arun",Temper,6InORfDvGGMxwR6iUUvS32,2015-01-28
Door Number Okati,Geetha Madhuri,Oopiri,5oyZumEp7fAIVnQhCKE6YZ,2016-02-28
Top Lesi Poddi,"Sagar, Geetha Madhuri",Idharammayilatho,0FSrCEox8bEpO3RD6ZfEr5,2013-04-28
Pakado Pakado,"Vinayak, Sameera Bharadwaj",Julayi,6YjMX6G0PoWx9WzYZyQBxt,2021-02-19
Hey Bombatu Byke Ayithe,"Dhanunjay Seepana, Harini Ivvaturi",Julayi,0znPMva9iUlMq0o0hpb6Fw,2021-02-19
Don Bosco,"Sri Krishna, Jaspreet Jasz, Hari Teja, Manisha Eerabathini, Ramya Behra",Amar Akbar Antony,05j8OBtR02Y6w0DUY5sbTT,2018-11-12
Kalala Kadhala,Harini Ivvaturi,Amar Akbar Antony,33Hsa0oH5W62aIfc8tT0uT,2018-11-12
Hawa Hawa,"Mika Singh, Prakriti Kakar",Mubarakan,497aKHFYNcS1z3bliPu45t,2017-07-06
Zara Zara X Cradles,Naim Almas,Zara Zara X Cradles,6BBW4MBbbqRGIugKUzmG6P,2021-12-31
Vaseegara / Zara Zara Mashup,Jonita Gandhi,Vaseegara / Zara Zara Mashup - Single,3B7eDo0JA8rkMRsPa9n7rq,2020-02-20
Ide Kalala Vunnadhe,Andrea Jeremiah,Bharat Ane Nenu,3Ey5rxxpgnt9pzxvsszh89,2018-04-07
Kadhal Yaanai,"Shankar Mahadevan, Harini",Anniyan (Original Motion Picture Soundtrack),2EmoaXUqkNFzIj6L9Oy0uy,2005-06-17
Kannum Kannum,"Leslee Lewis, Andrea Jeremiah, Vasundhara Das",Anniyan (Original Motion Picture Soundtrack),5FF8zFVcdfylo72ANbh9wV,2005-06-17
Oo Solriya Oo Oo Solriya,Andrea Jeremiah,Pushpa - The Rise,28fPIWqAfqoEEGSb0rA4LZ,2021-12-10
Five Feet,"Tippu, Priya",Jagadam,5EjkZ4AnBMR6DAN3Xli42y,2007-03-16
Mu Mu Mudante,"Tippu, Sunitha",Jagadam,1SuxPUyP3zTyU9MA6k9e1F,2007-03-16
Yekantanga,Karunya,Ashok,20S7lyoAgNXpBKoXG4rM4B,2006-07-06
Choododhu,"Karthik, Mahalakshmi Iyer",Pokiri,1QtFtMgfd7brff3mAGuWg8,2006-04-08
Jagadame,Kunal Ganjawala,Pokiri,5m1GXpMwU55oCr17bNcgyl,2006-04-08
Ippatikinka,"Muralidar, Suchitra",Pokiri,5Y0fbLc9DWYYwcKF5DQPiw,2006-04-08
Gala Gala Paruthunna,Nihal,Pokiri,6E2MIXNryG2WcVb9sh1I8L,2006-04-08
Dole Dole,"Ranjith Govind, Suchitra",Pokiri,3Mfoxtd3ZvpIZHy1WnEF77,2006-04-08
Noppi Noppi,Naveen,Pokiri,4pCRP5zNeDHLRh7zmPJOtx,2006-04-08
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,2020-01-16
"Hui Malang (From ""Malang - Unleash The Madness"")","Asees Kaur, Ved Sharma","Hui Malang (From ""Malang - Unleash The Madness"")",5bAed2aRbQbjDZF9qkNSA2,2020-02-03
"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")",4xmkpE1Si5JL7NFxWrhV0S,2020-01-23
Hatha,Lalith Chilukuri,Goodachari,3ewpBHToQVjCv2q7SnmsFd,2018-07-23
Anaganaga,Ambika Sashital,Goodachari,4Enr48UdAmBWn6PLgSLsqS,2018-07-23
Sakhiya,"Sricharan Pakala, Yamini Ghantasala",Goodachari,3XrgFJdi7Isja4pq7owxdc,2018-07-23
Goodachari Main Theme,Sricharan Pakala,Goodachari,66pcLcrEnus8gEcbmsN4vs,2018-07-23
You Are My Heart Beat - Telugu,"Anurag Kulkarni, Mickey J. Meyer",Iddari Lokam Okate,0ctKfa1O6O4UueGLhqKJB3,2019-12-13
You Are My Heart Beat,Anurag Kulkarni,Iddari Lokam Okate,4tapO1vYD4YLoUCkgDGwab,2019-10-14
Love Cheyyaala Oddhaa,Narendra,Kumari 21 F,5H1fqGHrjR78hQKw3iPjp2,2015-10-31
Meghaalu Lekunna,Yazin Nizar,Kumari 21 F,4YpxBrMONvVqbmXmYI2P5M,2015-10-31
Naalo Chilipi Kala (Theme Song),Yazin Nizar,Lover,79l2r6sNwz2p2kCjK5eB8y,2018-06-24
"Summa Surrunu (From ""Etharkkum Thunindhavan"")","Armaan Malik, Nikhita Gandhi, D. Imman","Summa Surrunu (From ""Etharkkum Thunindhavan"")",0sjg2rWD3IcQK07HOBw5Dq,2022-01-16
Kurilae Kurilae,"Harris Jayaraj, Javed Ali, Darshana K.T.",Kaappaan (Original Motion Picture Soundtrack),3CcZFF9VjwXrElkWZ6GjIX,2019-07-22
Hey Amigo,"Harris Jayaraj, Leslee Lewis, Jonita Gandhi",Kaappaan (Original Motion Picture Soundtrack),6YNh7d9B3Jlwlzkvq2MMbb,2019-07-22
Oh! Shanthi Shanthi,"Harris Jayaraj, Clinton, S.P.Charan",Vaaranam Aayiram (Original Motion Picture Soundtrack),06urexU7lv41RDdLnMzChi,2008-10-08
Anbae Peranbae,"Sid Sriram, Shreya Ghoshal",NGK (Original Motion Picture Soundtrack),6qRiVOBexkxK4BxSt1j6rn,2019-04-30
Wi Wi Wi Wi Wifi,Harris Jayaraj,S3 (Original Motion Picture Soundtrack),1Zmr2I4xoQdgphKB7or6Ns,2016-11-28
"Naan Aval Illai (From ""Masss"")","Karthik, Chinmayi",Masss (Original Motion Picture Soundtrack),0eMGhNcVuvY9aUM6SopdbW,2015-05-08
En Idhayam,"Devi Sri Prasad, Suchitra, Tippu",Singam (Original Motion Picture Soundtrack),2BB7wu5jJxxAEH9DKC5Mm4,2010-05-03
Yeno Yeno Panithuli,"Harris Jayaraj, Shail Hada, Sudha Ragunathan, Andrea Jeremiah",Aadhavan (Original Motion Picture Soundtrack),5APtMcc2hQv61LqoOrMv0O,2009-08-09
"Suttum Vizhi - Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin",Sriram Parthasarathy,Ghajini,5grxO9GFZTtN2CVMlbEuIv,2005-01-01
Vaarayo Vaarayo,"Harris Jayaraj, Unnikrishnan, Chinmayi, Mega",Aadhavan (Original Motion Picture Soundtrack),13wIQbwSuQ4YFvDvtQgSVc,2009-08-09
Vizhi Moodi Yosithal,"Sathursan, Varothayan, Ab1shanth, Rajithan",Vizhi Moodi Yosithal,7yLBq1QePwcxPstePzca1I,2022-02-27
Varinche Prema,Haricharan,Malli Malli Idi Rani Roju (Original Motion Picture Soundtrack),6gw6Z0KmHZusBKaGQvkucO,2014-12-07
Marhaba,"Aaishwarya, Bhavya, Lakshmi, Gopi Sundar",Malli Malli Idi Rani Roju (Original Motion Picture Soundtrack),4OUNQNh2YVBHSHCOhtoSo9,2014-12-07
